STATISTIC,STATISTIC Label,TLIST(M1),Month,C02068V02499,Type of Feedstuff,UNIT,VALUE
AJM08,Feed Stuff Price,201401,2014 January,1,Rolled barley,Euro per Tonne,257.0
AJM08,Feed Stuff Price,201401,2014 January,4,Soya bean meal,Euro per Tonne,479.0
AJM08,Feed Stuff Price,201401,2014 January,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201401,2014 January,6,Maize meal,Euro per Tonne,252.0
AJM08,Feed Stuff Price,201401,2014 January,7,Flaked maize,Euro per Tonne,369.0
AJM08,Feed Stuff Price,201401,2014 January,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201401,2014 January,10,Pig fattening meal (13-15% protein),Euro per Tonne,344.0
AJM08,Feed Stuff Price,201401,2014 January,11,Sow breeder (14-16% protein),Euro per Tonne,313.0
AJM08,Feed Stuff Price,201401,2014 January,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201401,2014 January,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,329.0
AJM08,Feed Stuff Price,201401,2014 January,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201401,2014 January,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201401,2014 January,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,294.0
AJM08,Feed Stuff Price,201401,2014 January,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,302.0
AJM08,Feed Stuff Price,201401,2014 January,18,Dairy meal (16-18% protein),Euro per Tonne,300.0
AJM08,Feed Stuff Price,201401,2014 January,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201401,2014 January,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201401,2014 January,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201401,2014 January,22,Layers' mash (14-16% protein),Euro per Tonne,379.0
AJM08,Feed Stuff Price,201401,2014 January,23,Broiler starter (22-24% protein),Euro per Tonne,539.0
AJM08,Feed Stuff Price,201401,2014 January,24,Broiler finisher (19-21% protein),Euro per Tonne,486.0
AJM08,Feed Stuff Price,201401,2014 January,25,Milk replacer,Euro per Tonne,2201.0
AJM08,Feed Stuff Price,201401,2014 January,26,Wheat,Euro per Tonne,212.0
AJM08,Feed Stuff Price,201401,2014 January,27,Ewe feed coarse (16-20% protein),Euro per Tonne,297.0
AJM08,Feed Stuff Price,201401,2014 January,28,Ewe pellets/nuts (16-20%),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201401,2014 January,29,Lamb feed (16-20% protein),Euro per Tonne,317.0
AJM08,Feed Stuff Price,201401,2014 January,30,Cattle fattening meal (13-15% protein),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201402,2014 February,1,Rolled barley,Euro per Tonne,248.0
AJM08,Feed Stuff Price,201402,2014 February,4,Soya bean meal,Euro per Tonne,480.0
AJM08,Feed Stuff Price,201402,2014 February,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201402,2014 February,6,Maize meal,Euro per Tonne,248.0
AJM08,Feed Stuff Price,201402,2014 February,7,Flaked maize,Euro per Tonne,369.0
AJM08,Feed Stuff Price,201402,2014 February,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201402,2014 February,10,Pig fattening meal (13-15% protein),Euro per Tonne,344.0
AJM08,Feed Stuff Price,201402,2014 February,11,Sow breeder (14-16% protein),Euro per Tonne,313.0
AJM08,Feed Stuff Price,201402,2014 February,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201402,2014 February,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,329.0
AJM08,Feed Stuff Price,201402,2014 February,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201402,2014 February,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201402,2014 February,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,294.0
AJM08,Feed Stuff Price,201402,2014 February,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,303.0
AJM08,Feed Stuff Price,201402,2014 February,18,Dairy meal (16-18% protein),Euro per Tonne,303.0
AJM08,Feed Stuff Price,201402,2014 February,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201402,2014 February,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201402,2014 February,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201402,2014 February,22,Layers' mash (14-16% protein),Euro per Tonne,378.0
AJM08,Feed Stuff Price,201402,2014 February,23,Broiler starter (22-24% protein),Euro per Tonne,535.0
AJM08,Feed Stuff Price,201402,2014 February,24,Broiler finisher (19-21% protein),Euro per Tonne,500.0
AJM08,Feed Stuff Price,201402,2014 February,25,Milk replacer,Euro per Tonne,2218.0
AJM08,Feed Stuff Price,201402,2014 February,26,Wheat,Euro per Tonne,210.0
AJM08,Feed Stuff Price,201402,2014 February,27,Ewe feed coarse (16-20% protein),Euro per Tonne,305.0
AJM08,Feed Stuff Price,201402,2014 February,28,Ewe pellets/nuts (16-20%),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201402,2014 February,29,Lamb feed (16-20% protein),Euro per Tonne,321.0
AJM08,Feed Stuff Price,201402,2014 February,30,Cattle fattening meal (13-15% protein),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201403,2014 March,1,Rolled barley,Euro per Tonne,230.0
AJM08,Feed Stuff Price,201403,2014 March,4,Soya bean meal,Euro per Tonne,472.0
AJM08,Feed Stuff Price,201403,2014 March,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,6,Maize meal,Euro per Tonne,244.0
AJM08,Feed Stuff Price,201403,2014 March,7,Flaked maize,Euro per Tonne,309.0
AJM08,Feed Stuff Price,201403,2014 March,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,305.0
